å¼€å§‹ s5_t100 / mode_sdas_dpicï¼Œæ—¶é—´ï¼š2026-05-25T04:41:58
å‘½ä»¤ F:\Anaconda\python.exe -u main.py


ÔËÐÐËã·¨£ºMODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.0000, feasible ratio=0.00
Gen  75: profit_max=485.00, profit_avg=440.81, load_min=635.76, att_min=3099.93, quality_max=548.63, quality_avg=451.23, tasks_avg=81.64, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  76: profit_max=485.00, profit_avg=440.81, load_min=635.76, att_min=3099.93, quality_max=548.63, quality_avg=451.23, tasks_avg=81.64, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  77: profit_max=485.00, profit_avg=440.51, load_min=635.76, att_min=3258.65, quality_max=548.63, quality_avg=449.90, tasks_avg=81.61, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  78: profit_max=485.00, profit_avg=440.51, load_min=635.76, att_min=3258.65, quality_max=548.63, quality_avg=449.90, tasks_avg=81.61, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  79: profit_max=485.00, profit_avg=440.51, load_min=635.76, att_min=3258.65, quality_max=548.63, quality_avg=449.90, tasks_avg=81.61, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  80: profit_max=485.00, profit_avg=440.55, load_min=635.76, att_min=3258.65, quality_max=548.63, quality_avg=449.53, tasks_avg=81.62, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  81: profit_max=485.00, profit_avg=440.55, load_min=491.60, att_min=3258.65, quality_max=548.63, quality_avg=448.72, tasks_avg=81.59, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  82: profit_max=485.00, profit_avg=441.85, load_min=491.60, att_min=3423.67, quality_max=548.63, quality_avg=446.23, tasks_avg=81.72, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  83: profit_max=485.00, profit_avg=441.85, load_min=491.60, att_min=3423.67, quality_max=548.63, quality_avg=446.23, tasks_avg=81.72, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  84: profit_max=485.00, profit_avg=441.99, load_min=491.60, att_min=3423.67, quality_max=548.63, quality_avg=445.80, tasks_avg=81.71, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  85: profit_max=485.00, profit_avg=441.40, load_min=491.60, att_min=3423.67, quality_max=548.63, quality_avg=443.94, tasks_avg=81.65, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  86: profit_max=485.00, profit_avg=441.40, load_min=491.60, att_min=3423.67, quality_max=548.63, quality_avg=443.94, tasks_avg=81.65, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  87: profit_max=485.00, profit_avg=441.77, load_min=491.60, att_min=3423.67, quality_max=548.63, quality_avg=444.56, tasks_avg=81.70, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  88: profit_max=485.00, profit_avg=442.05, load_min=491.60, att_min=3423.67, quality_max=548.63, quality_avg=444.93, tasks_avg=81.80, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  89: profit_max=485.00, profit_avg=442.05, load_min=491.60, att_min=3423.67, quality_max=548.63, quality_avg=444.93, tasks_avg=81.80, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  90: profit_max=485.00, profit_avg=442.05, load_min=491.60, att_min=3423.67, quality_max=548.63, quality_avg=444.93, tasks_avg=81.80, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  91: profit_max=485.00, profit_avg=442.05, load_min=491.60, att_min=3423.67, quality_max=548.63, quality_avg=444.93, tasks_avg=81.80, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  92: profit_max=485.00, profit_avg=442.04, load_min=491.60, att_min=3423.67, quality_max=548.63, quality_avg=444.62, tasks_avg=81.81, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  93: profit_max=485.00, profit_avg=442.04, load_min=491.60, att_min=3423.67, quality_max=548.63, quality_avg=444.62, tasks_avg=81.81, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  94: profit_max=485.00, profit_avg=441.75, load_min=491.60, att_min=3423.67, quality_max=548.63, quality_avg=444.45, tasks_avg=81.77, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  95: profit_max=485.00, profit_avg=441.75, load_min=491.60, att_min=3423.67, quality_max=548.63, quality_avg=444.45, tasks_avg=81.77, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  96: profit_max=485.00, profit_avg=441.51, load_min=491.60, att_min=3423.67, quality_max=548.63, quality_avg=443.24, tasks_avg=81.70, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  97: profit_max=475.00, profit_avg=441.28, load_min=491.60, att_min=3423.67, quality_max=564.34, quality_avg=445.84, tasks_avg=81.66, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  98: profit_max=488.00, profit_avg=441.82, load_min=491.60, att_min=3423.67, quality_max=564.34, quality_avg=446.33, tasks_avg=81.77, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen  99: profit_max=488.00, profit_avg=441.82, load_min=491.60, att_min=3423.67, quality_max=564.34, quality_avg=446.33, tasks_avg=81.77, HV=0.0000, feasible ratio=0.00, Nsub=12
Gen 100: profit_max=488.00, profit_avg=442.28, load_min=491.60, att_min=3423.67, quality_max=564.34, quality_avg=446.64, tasks_avg=81.86, HV=0.0000, feasible ratio=0.00, Nsub=12
Final feasible solutions used for summary/HV: 0/100
Run 1 best: no feasible final solution; summary metrics set to NaN

========== MODE-SDAS-DPIC Full Run 2/8 ==========
Init: HV=0.0000, feasible ratio=0.00
Gen   1: profit_max=505.00, profit_avg=460.21, load_min=794.16, att_min=3344.54, quality_max=574.88, quality_avg=506.78, tasks_avg=85.53, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen   2: profit_max=505.00, profit_avg=457.16, load_min=676.24, att_min=3344.54, quality_max=634.57, quality_avg=505.02, tasks_avg=85.11, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen   3: profit_max=510.00, profit_avg=455.18, load_min=71.44, att_min=3344.54, quality_max=645.04, quality_avg=497.43, tasks_avg=84.69, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen   4: profit_max=505.00, profit_avg=455.35, load_min=71.44, att_min=3344.54, quality_max=634.57, quality_avg=493.47, tasks_avg=84.58, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen   5: profit_max=505.00, profit_avg=453.31, load_min=71.44, att_min=3330.78, quality_max=634.57, quality_avg=485.33, tasks_avg=84.19, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen   6: profit_max=505.00, profit_avg=453.33, load_min=71.44, att_min=3330.78, quality_max=634.57, quality_avg=484.83, tasks_avg=84.27, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen   7: profit_max=505.00, profit_avg=453.24, load_min=71.44, att_min=3330.78, quality_max=634.57, quality_avg=483.87, tasks_avg=84.28, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen   8: profit_max=505.00, profit_avg=452.21, load_min=71.44, att_min=3330.78, quality_max=634.57, quality_avg=480.02, tasks_avg=84.08, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen   9: profit_max=505.00, profit_avg=451.75, load_min=71.44, att_min=3330.78, quality_max=634.57, quality_avg=479.10, tasks_avg=84.01, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  10: profit_max=505.00, profit_avg=451.28, load_min=265.04, att_min=3330.78, quality_max=634.57, quality_avg=479.73, tasks_avg=84.10, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  11: profit_max=505.00, profit_avg=450.83, load_min=265.04, att_min=3330.78, quality_max=634.57, quality_avg=476.56, tasks_avg=84.09, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  12: profit_max=505.00, profit_avg=450.37, load_min=265.04, att_min=3344.54, quality_max=634.57, quality_avg=476.56, tasks_avg=83.98, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  13: profit_max=505.00, profit_avg=451.59, load_min=265.04, att_min=3344.54, quality_max=634.57, quality_avg=476.62, tasks_avg=84.21, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  14: profit_max=505.00, profit_avg=451.09, load_min=265.04, att_min=3344.54, quality_max=634.57, quality_avg=475.37, tasks_avg=84.10, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  15: profit_max=505.00, profit_avg=451.24, load_min=265.04, att_min=3344.54, quality_max=634.57, quality_avg=473.49, tasks_avg=84.17, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  16: profit_max=505.00, profit_avg=450.62, load_min=265.04, att_min=3344.54, quality_max=634.57, quality_avg=473.09, tasks_avg=83.98, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  17: profit_max=505.00, profit_avg=450.44, load_min=265.04, att_min=3344.54, quality_max=634.57, quality_avg=471.68, tasks_avg=83.90, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  18: profit_max=505.00, profit_avg=450.61, load_min=265.04, att_min=3344.54, quality_max=634.57, quality_avg=471.91, tasks_avg=83.94, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  19: profit_max=505.00, profit_avg=450.89, load_min=265.04, att_min=3344.54, quality_max=634.57, quality_avg=473.78, tasks_avg=84.06, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  20: profit_max=505.00, profit_avg=450.96, load_min=265.04, att_min=3344.54, quality_max=634.57, quality_avg=473.79, tasks_avg=84.11, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  21: profit_max=505.00, profit_avg=450.33, load_min=265.04, att_min=3344.54, quality_max=634.57, quality_avg=472.71, tasks_avg=84.12, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  22: profit_max=505.00, profit_avg=450.88, load_min=265.04, att_min=3591.66, quality_max=634.57, quality_avg=473.00, tasks_avg=84.14, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  23: profit_max=505.00, profit_avg=449.86, load_min=265.04, att_min=3591.66, quality_max=634.57, quality_avg=472.39, tasks_avg=83.96, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  24: profit_max=505.00, profit_avg=449.59, load_min=265.04, att_min=3591.66, quality_max=634.57, quality_avg=471.20, tasks_avg=83.96, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  25: profit_max=505.00, profit_avg=449.91, load_min=265.04, att_min=3591.66, quality_max=634.57, quality_avg=472.33, tasks_avg=83.98, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  26: profit_max=505.00, profit_avg=449.07, load_min=265.04, att_min=3591.66, quality_max=634.57, quality_avg=472.30, tasks_avg=83.88, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  27: profit_max=505.00, profit_avg=449.65, load_min=265.04, att_min=3591.66, quality_max=634.57, quality_avg=472.44, tasks_avg=84.00, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  28: profit_max=505.00, profit_avg=448.76, load_min=265.04, att_min=3565.85, quality_max=634.57, quality_avg=474.91, tasks_avg=83.90, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  29: profit_max=497.00, profit_avg=447.51, load_min=265.04, att_min=3565.85, quality_max=634.57, quality_avg=473.53, tasks_avg=83.70, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  30: profit_max=497.00, profit_avg=447.41, load_min=265.04, att_min=3565.85, quality_max=634.57, quality_avg=476.22, tasks_avg=83.66, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  31: profit_max=497.00, profit_avg=447.38, load_min=265.04, att_min=3565.85, quality_max=634.57, quality_avg=473.90, tasks_avg=83.58, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  32: profit_max=497.00, profit_avg=447.27, load_min=265.04, att_min=3565.85, quality_max=634.57, quality_avg=472.63, tasks_avg=83.57, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  33: profit_max=497.00, profit_avg=447.20, load_min=265.04, att_min=3565.85, quality_max=634.57, quality_avg=473.66, tasks_avg=83.55, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  34: profit_max=497.00, profit_avg=447.00, load_min=265.04, att_min=3591.48, quality_max=634.57, quality_avg=472.79, tasks_avg=83.55, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  35: profit_max=497.00, profit_avg=448.01, load_min=265.04, att_min=3591.48, quality_max=634.57, quality_avg=473.33, tasks_avg=83.74, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  36: profit_max=489.00, profit_avg=447.64, load_min=265.04, att_min=3591.48, quality_max=610.69, quality_avg=469.52, tasks_avg=83.68, HV=0.0000, feasible ratio=0.00, Nsub=21
