开始 s5_t100 / mode_sdas_dpic_only，时间：2026-05-25T02:30:24
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + DPIC only

========== MODE-SDAS + DPIC only Run 1/8 ==========
Init: HV=0.5494, feasible ratio=0.73
Gen  42: profit_max=253.00, profit_avg=110.42, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=122.70, tasks_avg=19.28, HV=0.5125, feasible ratio=1.00, Nsub=21
Gen  43: profit_max=253.00, profit_avg=110.56, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=121.81, tasks_avg=19.21, HV=0.5141, feasible ratio=1.00, Nsub=21
Gen  44: profit_max=253.00, profit_avg=114.32, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=125.31, tasks_avg=19.77, HV=0.5168, feasible ratio=1.00, Nsub=21
Gen  45: profit_max=253.00, profit_avg=113.11, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=123.64, tasks_avg=19.58, HV=0.5155, feasible ratio=1.00, Nsub=21
Gen  46: profit_max=253.00, profit_avg=113.11, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=123.55, tasks_avg=19.56, HV=0.5160, feasible ratio=1.00, Nsub=21
Gen  47: profit_max=253.00, profit_avg=112.21, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=121.80, tasks_avg=19.31, HV=0.5150, feasible ratio=1.00, Nsub=21
Gen  48: profit_max=253.00, profit_avg=112.30, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=122.75, tasks_avg=19.30, HV=0.5169, feasible ratio=1.00, Nsub=21
Gen  49: profit_max=253.00, profit_avg=112.62, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=122.72, tasks_avg=19.30, HV=0.5150, feasible ratio=1.00, Nsub=21
Gen  50: profit_max=253.00, profit_avg=110.73, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=122.07, tasks_avg=19.12, HV=0.5196, feasible ratio=1.00, Nsub=21
Gen  51: profit_max=253.00, profit_avg=112.13, load_min=0.00, att_min=0.00, quality_max=257.42, quality_avg=122.59, tasks_avg=19.27, HV=0.5196, feasible ratio=1.00, Nsub=21
