开始 s5_t100 / mode_sdas_dpic，时间：2026-05-27T10:47:56
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.5327, feasible ratio=0.83
Gen  38: profit_max=291.00, profit_avg=143.80, load_min=0.00, att_min=0.00, quality_max=320.56, quality_avg=151.28, tasks_avg=24.91, HV=0.4252, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  39: profit_max=291.00, profit_avg=144.95, load_min=0.00, att_min=0.00, quality_max=320.56, quality_avg=151.64, tasks_avg=25.12, HV=0.4249, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  40: profit_max=291.00, profit_avg=144.15, load_min=0.00, att_min=0.00, quality_max=320.56, quality_avg=151.48, tasks_avg=25.05, HV=0.4269, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  41: profit_max=291.00, profit_avg=145.65, load_min=0.00, att_min=0.00, quality_max=320.56, quality_avg=153.02, tasks_avg=25.29, HV=0.4257, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  42: profit_max=291.00, profit_avg=147.65, load_min=0.00, att_min=0.00, quality_max=320.56, quality_avg=154.82, tasks_avg=25.61, HV=0.4260, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  43: profit_max=291.00, profit_avg=147.40, load_min=0.00, att_min=0.00, quality_max=320.56, quality_avg=154.07, tasks_avg=25.54, HV=0.4268, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  44: profit_max=318.00, profit_avg=148.51, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=155.48, tasks_avg=25.75, HV=0.4623, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  45: profit_max=318.00, profit_avg=149.07, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=155.45, tasks_avg=25.81, HV=0.4615, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  46: profit_max=318.00, profit_avg=148.05, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=154.75, tasks_avg=25.62, HV=0.4614, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  47: profit_max=318.00, profit_avg=147.11, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=153.83, tasks_avg=25.43, HV=0.4624, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
