开始 s5_t100 / mode_sdas_dpic_dual_archive，时间：2026-05-27T13:37:24
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + DPIC + Dual Archive

========== MODE-SDAS + DPIC + Dual Archive Run 1/8 ==========
Init: HV=0.8995, feasible ratio=0.81
Gen  13: profit_max=197.00, profit_avg=89.95, load_min=0.00, att_min=0.00, quality_max=239.14, quality_avg=97.45, tasks_avg=15.57, HV=0.3791, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen  14: profit_max=207.00, profit_avg=94.53, load_min=0.00, att_min=0.00, quality_max=239.14, quality_avg=101.78, tasks_avg=16.40, HV=0.4542, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen  15: profit_max=207.00, profit_avg=98.21, load_min=0.00, att_min=0.00, quality_max=239.14, quality_avg=106.05, tasks_avg=17.12, HV=0.4596, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen  16: profit_max=207.00, profit_avg=101.36, load_min=0.00, att_min=0.00, quality_max=242.60, quality_avg=109.69, tasks_avg=17.73, HV=0.4536, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen  17: profit_max=207.00, profit_avg=100.91, load_min=0.00, att_min=0.00, quality_max=242.60, quality_avg=108.35, tasks_avg=17.53, HV=0.4713, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen  18: profit_max=207.00, profit_avg=102.24, load_min=0.00, att_min=0.00, quality_max=242.60, quality_avg=109.14, tasks_avg=17.74, HV=0.4718, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen  19: profit_max=216.00, profit_avg=106.23, load_min=0.00, att_min=0.00, quality_max=263.23, quality_avg=113.18, tasks_avg=18.42, HV=0.4202, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen  20: profit_max=216.00, profit_avg=107.96, load_min=0.00, att_min=0.00, quality_max=263.23, quality_avg=114.97, tasks_avg=18.66, HV=0.4249, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen  21: profit_max=216.00, profit_avg=108.67, load_min=0.00, att_min=0.00, quality_max=263.23, quality_avg=116.29, tasks_avg=18.86, HV=0.4239, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen  22: profit_max=224.00, profit_avg=111.71, load_min=0.00, att_min=0.00, quality_max=263.23, quality_avg=120.27, tasks_avg=19.41, HV=0.4095, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen  23: profit_max=224.00, profit_avg=111.93, load_min=0.00, att_min=0.00, quality_max=263.23, quality_avg=119.97, tasks_avg=19.34, HV=0.4113, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen  24: profit_max=224.00, profit_avg=112.57, load_min=0.00, att_min=0.00, quality_max=263.23, quality_avg=121.85, tasks_avg=19.55, HV=0.4622, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen  25: profit_max=224.00, profit_avg=113.37, load_min=0.00, att_min=0.00, quality_max=265.87, quality_avg=123.07, tasks_avg=19.68, HV=0.4611, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen  26: profit_max=229.00, profit_avg=114.45, load_min=0.00, att_min=0.00, quality_max=265.87, quality_avg=123.28, tasks_avg=19.77, HV=0.4567, feasible ratio=1.00, fea_archive=200, inf_archive=24
