å¼€å§‹ s5_t300 / mode_sdas_dual_archiveï¼Œæ—¶é—´ï¼š2026-05-27T16:19:17
å‘½ä»¤ F:\Anaconda\python.exe -u main.py


ÔËÐÐËã·¨£ºMODE-SDAS + Dual Archive

========== MODE-SDAS + Dual Archive Run 1/8 ==========
Init: HV=0.4749, feasible ratio=0.58
Gen  95: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3837, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  96: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3837, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  97: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3841, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  98: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3842, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  99: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3842, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen 100: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3842, feasible ratio=1.00, fea_archive=200, inf_archive=68
Final feasible solutions used for summary/HV: 100/100
Run 1 best: profit=500.0, load=50.00, att=18.98, quality=450.04

========== MODE-SDAS + Dual Archive Run 2/8 ==========
Init: HV=0.4138, feasible ratio=0.60
Gen   1: profit_max=207.00 load_min=54.64, att_min=0.00, quality_max=177.09 HV=0.3356, feasible ratio=0.86, fea_archive=146, inf_archive=54
Gen   2: profit_max=207.00 load_min=54.64, att_min=0.00, quality_max=177.09 HV=0.3721, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen   3: profit_max=269.00 load_min=54.64, att_min=0.00, quality_max=235.66 HV=0.3205, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen   4: profit_max=269.00 load_min=54.64, att_min=0.00, quality_max=246.53 HV=0.3342, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen   5: profit_max=269.00 load_min=54.64, att_min=0.00, quality_max=246.53 HV=0.3822, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen   6: profit_max=297.00 load_min=54.64, att_min=0.00, quality_max=261.33 HV=0.3567, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen   7: profit_max=297.00 load_min=54.64, att_min=0.00, quality_max=261.33 HV=0.3568, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen   8: profit_max=321.00 load_min=54.64, att_min=0.00, quality_max=349.73 HV=0.3139, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen   9: profit_max=321.00 load_min=54.64, att_min=0.00, quality_max=349.73 HV=0.3243, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  10: profit_max=321.00 load_min=54.64, att_min=0.00, quality_max=349.73 HV=0.3280, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  11: profit_max=321.00 load_min=54.64, att_min=0.00, quality_max=349.73 HV=0.3316, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  12: profit_max=321.00 load_min=54.64, att_min=0.00, quality_max=349.73 HV=0.3546, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  13: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=349.73 HV=0.3118, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  14: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=349.73 HV=0.3135, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  15: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=351.82 HV=0.3423, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  16: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=351.82 HV=0.3423, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  17: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=351.82 HV=0.3423, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  18: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=351.82 HV=0.3429, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  19: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=351.82 HV=0.3497, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  20: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=351.82 HV=0.3517, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  21: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=351.82 HV=0.3541, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  22: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=351.82 HV=0.3542, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  23: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=351.82 HV=0.3542, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  24: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=351.82 HV=0.3572, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  25: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=351.82 HV=0.3579, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  26: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=358.64 HV=0.3732, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  27: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=358.64 HV=0.3808, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  28: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=358.64 HV=0.3811, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  29: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=358.64 HV=0.3809, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  30: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=358.64 HV=0.3851, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  31: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=358.64 HV=0.3853, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  32: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=358.64 HV=0.3856, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  33: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=358.64 HV=0.3857, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  34: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=358.64 HV=0.3857, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  35: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=358.64 HV=0.3857, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  36: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=358.64 HV=0.3858, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  37: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=358.64 HV=0.3869, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  38: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=358.64 HV=0.3869, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  39: profit_max=377.00 load_min=54.64, att_min=0.00, quality_max=358.64 HV=0.3894, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  40: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.2999, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  41: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.2999, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  42: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.2999, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  43: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3020, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  44: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3027, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  45: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3027, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  46: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3033, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  47: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3032, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  48: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3063, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  49: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3063, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  50: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3065, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  51: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3136, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  52: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3136, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  53: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3136, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  54: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3136, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  55: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3136, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  56: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3153, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  57: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3130, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  58: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3130, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  59: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3129, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  60: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3129, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  61: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3129, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  62: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3129, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  63: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3127, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  64: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3141, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  65: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3141, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  66: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3141, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  67: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3141, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  68: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3142, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  69: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3142, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  70: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3142, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  71: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3163, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  72: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3163, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  73: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3140, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  74: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3155, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  75: profit_max=453.00 load_min=54.64, att_min=0.00, quality_max=443.08 HV=0.3156, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  76: profit_max=505.00 load_min=54.64, att_min=0.00, quality_max=479.42 HV=0.3022, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  77: profit_max=505.00 load_min=54.64, att_min=0.00, quality_max=479.42 HV=0.3022, feasible ratio=1.00, fea_archive=200, inf_archive=54
Gen  78: profit_max=505.00 load_min=54.64, att_min=0.00, quality_max=479.42 HV=0.3026, feasible ratio=1.00, fea_archive=200, inf_archive=54
