开始 s5_t100 / mode_sdas_dual_archive，时间：2026-05-27T00:48:24
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + Dual Archive

========== MODE-SDAS + Dual Archive Run 1/8 ==========
Init: HV=0.6190, feasible ratio=0.74
Gen  64: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4544, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  65: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4556, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  66: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4647, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  67: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4644, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  68: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4644, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  69: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4646, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  70: profit_max=260.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.4627, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  71: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.5328, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  72: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.5327, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  73: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.5327, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  74: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.5404, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  75: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=278.77 HV=0.5400, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  76: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=281.33 HV=0.5350, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  77: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=281.33 HV=0.5353, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  78: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=281.33 HV=0.5353, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  79: profit_max=269.00 load_min=0.00, att_min=0.00, quality_max=281.33 HV=0.5313, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  80: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=281.33 HV=0.5102, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  81: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=281.33 HV=0.5102, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  82: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=281.33 HV=0.5103, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  83: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=296.55 HV=0.4847, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  84: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=296.55 HV=0.4847, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  85: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=296.55 HV=0.4867, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  86: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=316.73 HV=0.4633, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  87: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=316.73 HV=0.4708, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  88: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=316.73 HV=0.4707, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  89: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=316.73 HV=0.4761, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  90: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=316.73 HV=0.4767, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  91: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=316.73 HV=0.4773, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  92: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=316.73 HV=0.4760, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  93: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=316.73 HV=0.4760, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  94: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=316.73 HV=0.4765, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  95: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=316.73 HV=0.4769, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  96: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=316.73 HV=0.4778, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  97: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=316.73 HV=0.4769, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  98: profit_max=280.00 load_min=0.00, att_min=0.00, quality_max=316.73 HV=0.4769, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen  99: profit_max=292.00 load_min=0.00, att_min=0.00, quality_max=316.73 HV=0.4586, feasible ratio=1.00, fea_archive=200, inf_archive=26
Gen 100: profit_max=292.00 load_min=0.00, att_min=0.00, quality_max=316.73 HV=0.4573, feasible ratio=1.00, fea_archive=200, inf_archive=26
Final feasible solutions used for summary/HV: 100/100
Run 1 best: profit=292.0, load=0.00, att=0.00, quality=316.73

========== MODE-SDAS + Dual Archive Run 2/8 ==========
Init: HV=0.4594, feasible ratio=0.88
Gen   1: profit_max=71.00 load_min=0.00, att_min=0.00, quality_max=91.57 HV=0.3892, feasible ratio=1.00, fea_archive=188, inf_archive=12
Gen   2: profit_max=98.00 load_min=0.00, att_min=0.00, quality_max=97.51 HV=0.4534, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen   3: profit_max=108.00 load_min=0.00, att_min=0.00, quality_max=103.83 HV=0.5072, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen   4: profit_max=128.00 load_min=0.00, att_min=0.00, quality_max=130.50 HV=0.5005, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen   5: profit_max=146.00 load_min=0.00, att_min=0.00, quality_max=170.25 HV=0.3617, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen   6: profit_max=172.00 load_min=0.00, att_min=0.00, quality_max=228.60 HV=0.4167, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen   7: profit_max=172.00 load_min=0.00, att_min=0.00, quality_max=228.60 HV=0.4274, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen   8: profit_max=184.00 load_min=0.00, att_min=0.00, quality_max=228.60 HV=0.4702, feasible ratio=1.00, fea_archive=200, inf_archive=12
Gen   9: profit_max=193.00 load_min=0.00, att_min=0.00, quality_max=228.60 HV=0.4887, feasible ratio=1.00, fea_archive=200, inf_archive=12
