ÂºÄÂßã s5_t100 / nsga2ÔºåÊó∂Èó¥Ôºö2026-05-25T18:28:55
ÂëΩ‰ª§ F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫NSGA-II

========== NSGA-II Run 1/8 ==========
ø™ º‘À–– pymoo NSGA-II ...
Gen  82: profit_max=208.00, profit_avg=137.70, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=149.68, HV=0.5429, feasible ratio=1.00
Gen  83: profit_max=208.00, profit_avg=140.83, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=153.78, HV=0.5448, feasible ratio=1.00
Gen  84: profit_max=208.00, profit_avg=138.26, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=149.96, HV=0.5486, feasible ratio=1.00
Gen  85: profit_max=208.00, profit_avg=142.55, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=156.30, HV=0.5535, feasible ratio=1.00
Gen  86: profit_max=208.00, profit_avg=139.74, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=153.30, HV=0.5589, feasible ratio=1.00
Gen  87: profit_max=208.00, profit_avg=139.18, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=153.50, HV=0.5641, feasible ratio=1.00
Gen  88: profit_max=208.00, profit_avg=138.60, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=153.21, HV=0.5465, feasible ratio=1.00
Gen  89: profit_max=208.00, profit_avg=136.34, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=150.84, HV=0.5519, feasible ratio=1.00
Gen  90: profit_max=208.00, profit_avg=137.43, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=151.77, HV=0.5561, feasible ratio=1.00
Gen  91: profit_max=208.00, profit_avg=132.89, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=145.83, HV=0.5603, feasible ratio=1.00
Gen  92: profit_max=208.00, profit_avg=134.05, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=147.14, HV=0.5591, feasible ratio=1.00
Gen  93: profit_max=214.00, profit_avg=130.08, load_min=0.00, att_min=0.00, quality_max=259.06, quality_avg=142.05, HV=0.5468, feasible ratio=1.00
Gen  94: profit_max=214.00, profit_avg=137.14, load_min=0.00, att_min=0.00, quality_max=259.06, quality_avg=151.60, HV=0.5633, feasible ratio=1.00
Gen  95: profit_max=214.00, profit_avg=138.58, load_min=0.00, att_min=0.00, quality_max=259.06, quality_avg=152.27, HV=0.5546, feasible ratio=1.00
Gen  96: profit_max=214.00, profit_avg=135.69, load_min=0.00, att_min=0.00, quality_max=259.06, quality_avg=147.82, HV=0.5574, feasible ratio=1.00
Gen  97: profit_max=214.00, profit_avg=137.52, load_min=0.00, att_min=0.00, quality_max=259.06, quality_avg=150.89, HV=0.5604, feasible ratio=1.00
Gen  98: profit_max=214.00, profit_avg=138.37, load_min=0.00, att_min=0.00, quality_max=262.89, quality_avg=151.83, HV=0.5594, feasible ratio=1.00
Gen  99: profit_max=214.00, profit_avg=137.92, load_min=0.00, att_min=0.00, quality_max=262.89, quality_avg=151.87, HV=0.5613, feasible ratio=1.00
Gen 100: profit_max=214.00, profit_avg=137.97, load_min=0.00, att_min=0.00, quality_max=263.54, quality_avg=151.71, HV=0.5596, feasible ratio=1.00
pymoo NSGA-II ‘À––Ω· ¯°£
Final pymoo NSGA-II: profit_max=214.00, profit_avg=137.97, load_min=0.00, att_min=0.00, quality_max=263.54, quality_avg=151.71, HV=0.5596, feasible ratio=1.00
Final feasible solutions used for summary/HV: 100/100
Run 1 best: profit=214.0, load=0.00, att=0.00, quality=263.54

========== NSGA-II Run 2/8 ==========
ø™ º‘À–– pymoo NSGA-II ...
Gen   1: profit_max=40.00, profit_avg=14.80, load_min=0.00, att_min=0.00, quality_max=50.94, quality_avg=18.13, HV=0.5466, feasible ratio=0.81
Gen   2: profit_max=41.00, profit_avg=18.62, load_min=0.00, att_min=0.00, quality_max=57.80, quality_avg=22.26, HV=0.5496, feasible ratio=1.00
Gen   3: profit_max=46.00, profit_avg=22.08, load_min=0.00, att_min=0.00, quality_max=59.08, quality_avg=26.59, HV=0.7696, feasible ratio=1.00
Gen   4: profit_max=54.00, profit_avg=26.43, load_min=0.00, att_min=0.00, quality_max=63.31, quality_avg=31.64, HV=0.6928, feasible ratio=1.00
Gen   5: profit_max=61.00, profit_avg=29.07, load_min=0.00, att_min=0.00, quality_max=81.72, quality_avg=35.38, HV=0.5539, feasible ratio=1.00
Gen   6: profit_max=70.00, profit_avg=32.36, load_min=0.00, att_min=0.00, quality_max=88.55, quality_avg=38.68, HV=0.5636, feasible ratio=1.00
Gen   7: profit_max=71.00, profit_avg=32.01, load_min=0.00, att_min=0.00, quality_max=99.92, quality_avg=39.24, HV=0.5553, feasible ratio=1.00
Gen   8: profit_max=75.00, profit_avg=46.35, load_min=0.00, att_min=0.00, quality_max=105.16, quality_avg=56.97, HV=0.6546, feasible ratio=1.00
Gen   9: profit_max=99.00, profit_avg=45.04, load_min=0.00, att_min=0.00, quality_max=115.02, quality_avg=54.97, HV=0.5558, feasible ratio=1.00
Gen  10: profit_max=99.00, profit_avg=52.62, load_min=0.00, att_min=0.00, quality_max=115.02, quality_avg=64.26, HV=0.6200, feasible ratio=1.00
Gen  11: profit_max=99.00, profit_avg=58.00, load_min=0.00, att_min=0.00, quality_max=117.10, quality_avg=71.91, HV=0.6465, feasible ratio=1.00
Gen  12: profit_max=103.00, profit_avg=61.09, load_min=0.00, att_min=0.00, quality_max=139.80, quality_avg=74.99, HV=0.5742, feasible ratio=1.00
Gen  13: profit_max=115.00, profit_avg=63.86, load_min=0.00, att_min=0.00, quality_max=139.80, quality_avg=77.85, HV=0.5633, feasible ratio=1.00
Gen  14: profit_max=124.00, profit_avg=66.89, load_min=0.00, att_min=0.00, quality_max=139.99, quality_avg=81.49, HV=0.5679, feasible ratio=1.00
Gen  15: profit_max=124.00, profit_avg=70.46, load_min=0.00, att_min=0.00, quality_max=155.37, quality_avg=85.02, HV=0.5408, feasible ratio=1.00
Gen  16: profit_max=125.00, profit_avg=73.81, load_min=0.00, att_min=0.00, quality_max=155.37, quality_avg=87.72, HV=0.5588, feasible ratio=1.00
Gen  17: profit_max=126.00, profit_avg=75.93, load_min=0.00, att_min=0.00, quality_max=159.69, quality_avg=89.33, HV=0.5628, feasible ratio=1.00
Gen  18: profit_max=126.00, profit_avg=77.37, load_min=0.00, att_min=0.00, quality_max=162.29, quality_avg=91.32, HV=0.5650, feasible ratio=1.00
Gen  19: profit_max=134.00, profit_avg=78.73, load_min=0.00, att_min=0.00, quality_max=162.29, quality_avg=93.38, HV=0.5601, feasible ratio=1.00
Gen  20: profit_max=134.00, profit_avg=81.59, load_min=0.00, att_min=0.00, quality_max=169.27, quality_avg=98.13, HV=0.5516, feasible ratio=1.00
Gen  21: profit_max=138.00, profit_avg=83.52, load_min=0.00, att_min=0.00, quality_max=184.30, quality_avg=100.92, HV=0.5691, feasible ratio=1.00
Gen  22: profit_max=166.00, profit_avg=90.13, load_min=0.00, att_min=0.00, quality_max=192.65, quality_avg=109.38, HV=0.4886, feasible ratio=1.00
Gen  23: profit_max=166.00, profit_avg=93.80, load_min=0.00, att_min=0.00, quality_max=200.40, quality_avg=113.01, HV=0.4929, feasible ratio=1.00
Gen  24: profit_max=166.00, profit_avg=95.89, load_min=0.00, att_min=0.00, quality_max=200.40, quality_avg=115.25, HV=0.5152, feasible ratio=1.00
Gen  25: profit_max=166.00, profit_avg=99.14, load_min=0.00, att_min=0.00, quality_max=229.54, quality_avg=119.80, HV=0.4665, feasible ratio=1.00
Gen  26: profit_max=166.00, profit_avg=100.70, load_min=0.00, att_min=0.00, quality_max=230.36, quality_avg=122.48, HV=0.4909, feasible ratio=1.00
Gen  27: profit_max=166.00, profit_avg=103.60, load_min=0.00, att_min=0.00, quality_max=230.36, quality_avg=126.95, HV=0.5106, feasible ratio=1.00
Gen  28: profit_max=168.00, profit_avg=107.16, load_min=0.00, att_min=0.00, quality_max=230.36, quality_avg=131.61, HV=0.5243, feasible ratio=1.00
Gen  29: profit_max=173.00, profit_avg=108.86, load_min=0.00, att_min=0.00, quality_max=230.36, quality_avg=135.10, HV=0.5236, feasible ratio=1.00
Gen  30: profit_max=177.00, profit_avg=109.62, load_min=0.00, att_min=0.00, quality_max=230.36, quality_avg=136.23, HV=0.5156, feasible ratio=1.00
Gen  31: profit_max=184.00, profit_avg=112.48, load_min=0.00, att_min=0.00, quality_max=230.36, quality_avg=140.85, HV=0.5023, feasible ratio=1.00
Gen  32: profit_max=184.00, profit_avg=109.52, load_min=0.00, att_min=0.00, quality_max=230.36, quality_avg=136.39, HV=0.5151, feasible ratio=1.00
Gen  33: profit_max=184.00, profit_avg=109.60, load_min=0.00, att_min=0.00, quality_max=237.07, quality_avg=137.95, HV=0.5035, feasible ratio=1.00
Gen  34: profit_max=184.00, profit_avg=111.15, load_min=0.00, att_min=0.00, quality_max=237.07, quality_avg=139.68, HV=0.5126, feasible ratio=1.00
Gen  35: profit_max=186.00, profit_avg=112.04, load_min=0.00, att_min=0.00, quality_max=240.25, quality_avg=140.58, HV=0.5762, feasible ratio=1.00
Gen  36: profit_max=186.00, profit_avg=113.38, load_min=0.00, att_min=0.00, quality_max=243.83, quality_avg=143.03, HV=0.5655, feasible ratio=1.00
Gen  37: profit_max=187.00, profit_avg=114.26, load_min=0.00, att_min=0.00, quality_max=243.83, quality_avg=143.98, HV=0.5691, feasible ratio=1.00
Gen  38: profit_max=187.00, profit_avg=115.18, load_min=0.00, att_min=0.00, quality_max=246.98, quality_avg=146.71, HV=0.5588, feasible ratio=1.00
Gen  39: profit_max=187.00, profit_avg=116.92, load_min=0.00, att_min=0.00, quality_max=248.27, quality_avg=147.14, HV=0.5713, feasible ratio=1.00
Gen  40: profit_max=187.00, profit_avg=118.94, load_min=0.00, att_min=0.00, quality_max=248.27, quality_avg=152.03, HV=0.5676, feasible ratio=1.00
Gen  41: profit_max=189.00, profit_avg=116.61, load_min=0.00, att_min=0.00, quality_max=248.87, quality_avg=148.31, HV=0.5760, feasible ratio=1.00
Gen  42: profit_max=189.00, profit_avg=114.87, load_min=0.00, att_min=0.00, quality_max=256.30, quality_avg=148.18, HV=0.5700, feasible ratio=1.00
Gen  43: profit_max=189.00, profit_avg=114.55, load_min=0.00, att_min=0.00, quality_max=256.30, quality_avg=148.71, HV=0.5741, feasible ratio=1.00
Gen  44: profit_max=189.00, profit_avg=113.85, load_min=0.00, att_min=0.00, quality_max=256.30, quality_avg=148.39, HV=0.5771, feasible ratio=1.00
Gen  45: profit_max=189.00, profit_avg=116.83, load_min=0.00, att_min=0.00, quality_max=256.30, quality_avg=153.64, HV=0.5820, feasible ratio=1.00
Gen  46: profit_max=189.00, profit_avg=117.19, load_min=0.00, att_min=0.00, quality_max=256.30, quality_avg=153.49, HV=0.5789, feasible ratio=1.00
Gen  47: profit_max=189.00, profit_avg=120.91, load_min=0.00, att_min=0.00, quality_max=256.30, quality_avg=158.13, HV=0.5785, feasible ratio=1.00
Gen  48: profit_max=190.00, profit_avg=120.20, load_min=0.00, att_min=0.00, quality_max=257.90, quality_avg=157.76, HV=0.5826, feasible ratio=1.00
Gen  49: profit_max=190.00, profit_avg=119.11, load_min=0.00, att_min=0.00, quality_max=257.90, quality_avg=154.86, HV=0.5830, feasible ratio=1.00
Gen  50: profit_max=190.00, profit_avg=120.15, load_min=0.00, att_min=0.00, quality_max=257.90, quality_avg=156.32, HV=0.5879, feasible ratio=1.00
Gen  51: profit_max=190.00, profit_avg=121.71, load_min=0.00, att_min=0.00, quality_max=257.90, quality_avg=158.95, HV=0.5853, feasible ratio=1.00
Gen  52: profit_max=190.00, profit_avg=122.66, load_min=0.00, att_min=0.00, quality_max=259.15, quality_avg=160.24, HV=0.5857, feasible ratio=1.00
Gen  53: profit_max=192.00, profit_avg=123.93, load_min=0.00, att_min=0.00, quality_max=261.63, quality_avg=161.76, HV=0.5838, feasible ratio=1.00
Gen  54: profit_max=192.00, profit_avg=120.82, load_min=0.00, att_min=0.00, quality_max=262.59, quality_avg=157.74, HV=0.5816, feasible ratio=1.00
Gen  55: profit_max=192.00, profit_avg=121.25, load_min=0.00, att_min=0.00, quality_max=262.59, quality_avg=159.31, HV=0.5796, feasible ratio=1.00
Gen  56: profit_max=192.00, profit_avg=120.90, load_min=0.00, att_min=0.00, quality_max=262.59, quality_avg=159.74, HV=0.5876, feasible ratio=1.00
Gen  57: profit_max=193.00, profit_avg=120.04, load_min=0.00, att_min=0.00, quality_max=269.21, quality_avg=158.61, HV=0.5740, feasible ratio=1.00
Gen  58: profit_max=193.00, profit_avg=121.82, load_min=0.00, att_min=0.00, quality_max=269.21, quality_avg=159.35, HV=0.5776, feasible ratio=1.00
