ÂºÄÂßã s5_t100 / mode_sdasÔºåÊó∂Èó¥Ôºö2026-05-25T07:31:39
ÂëΩ‰ª§ F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS

========== MODE-SDAS Run 1/8 ==========
Init: HV=0.5651, feasible ratio=0.80
Gen   1: profit_max=   60.00, profit_avg=   22.29, load_min=      0.00, att_min=      0.00, quality_max=     80.96, quality_avg=     31.15, tasks_avg=  4.88, HV=0.4824, feasible ratio=1.00
Gen  47: profit_max=  298.00, profit_avg=  151.16, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    171.24, tasks_avg= 28.28, HV=0.4636, feasible ratio=1.00
Gen  48: profit_max=  298.00, profit_avg=  150.91, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    171.10, tasks_avg= 28.21, HV=0.4638, feasible ratio=1.00
Gen  49: profit_max=  298.00, profit_avg=  152.30, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    172.35, tasks_avg= 28.46, HV=0.4632, feasible ratio=1.00
Gen  50: profit_max=  298.00, profit_avg=  152.43, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    171.85, tasks_avg= 28.42, HV=0.4660, feasible ratio=1.00
Gen  51: profit_max=  298.00, profit_avg=  150.70, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    170.71, tasks_avg= 28.10, HV=0.4765, feasible ratio=1.00
Gen  52: profit_max=  298.00, profit_avg=  151.56, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    171.39, tasks_avg= 28.24, HV=0.4758, feasible ratio=1.00
Gen  53: profit_max=  298.00, profit_avg=  151.67, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    170.53, tasks_avg= 28.32, HV=0.4780, feasible ratio=1.00
Gen  54: profit_max=  312.00, profit_avg=  152.69, load_min=      0.00, att_min=      0.00, quality_max=    332.39, quality_avg=    173.20, tasks_avg= 28.53, HV=0.4580, feasible ratio=1.00
Gen  55: profit_max=  312.00, profit_avg=  151.58, load_min=      0.00, att_min=      0.00, quality_max=    332.39, quality_avg=    172.63, tasks_avg= 28.44, HV=0.4556, feasible ratio=1.00
Gen  56: profit_max=  312.00, profit_avg=  153.90, load_min=      0.00, att_min=      0.00, quality_max=    332.39, quality_avg=    175.08, tasks_avg= 28.74, HV=0.4578, feasible ratio=1.00
