å¼€å§‹ s5_t500 / mode_sdasï¼Œæ—¶é—´ï¼š2026-05-27T00:48:15
å‘½ä»¤ F:\Anaconda\python.exe -u main.py


ÔËÐÐËã·¨£ºMODE-SDAS

========== MODE-SDAS Run 1/8 ==========
Init: HV=0.4297, feasible ratio=0.28
Gen  46: profit_max=  487.00, profit_avg=  205.92, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    223.46, tasks_avg= 37.01, HV=0.3750, feasible ratio=1.00
Gen  47: profit_max=  487.00, profit_avg=  205.13, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    222.83, tasks_avg= 36.82, HV=0.3752, feasible ratio=1.00
Gen  48: profit_max=  487.00, profit_avg=  205.82, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    223.88, tasks_avg= 36.99, HV=0.3755, feasible ratio=1.00
Gen  49: profit_max=  487.00, profit_avg=  205.98, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    224.70, tasks_avg= 37.03, HV=0.3768, feasible ratio=1.00
Gen  50: profit_max=  487.00, profit_avg=  206.87, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    225.35, tasks_avg= 37.12, HV=0.3770, feasible ratio=1.00
Gen  51: profit_max=  487.00, profit_avg=  209.23, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    226.92, tasks_avg= 37.36, HV=0.3789, feasible ratio=1.00
Gen  52: profit_max=  487.00, profit_avg=  209.72, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    226.93, tasks_avg= 37.39, HV=0.3789, feasible ratio=1.00
Gen  53: profit_max=  487.00, profit_avg=  211.38, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    228.54, tasks_avg= 37.71, HV=0.3796, feasible ratio=1.00
Gen  54: profit_max=  487.00, profit_avg=  212.59, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    230.04, tasks_avg= 37.96, HV=0.3796, feasible ratio=1.00
Gen  55: profit_max=  487.00, profit_avg=  212.59, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    230.04, tasks_avg= 37.96, HV=0.3796, feasible ratio=1.00
Gen  56: profit_max=  487.00, profit_avg=  212.29, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    229.84, tasks_avg= 37.95, HV=0.3796, feasible ratio=1.00
Gen  57: profit_max=  487.00, profit_avg=  214.58, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    232.55, tasks_avg= 38.26, HV=0.3946, feasible ratio=1.00
Gen  58: profit_max=  487.00, profit_avg=  214.67, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    232.99, tasks_avg= 38.28, HV=0.3946, feasible ratio=1.00
Gen  59: profit_max=  487.00, profit_avg=  214.67, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    232.99, tasks_avg= 38.28, HV=0.3946, feasible ratio=1.00
Gen  60: profit_max=  487.00, profit_avg=  214.67, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    232.99, tasks_avg= 38.28, HV=0.3946, feasible ratio=1.00
Gen  61: profit_max=  487.00, profit_avg=  214.63, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    233.33, tasks_avg= 38.30, HV=0.3946, feasible ratio=1.00
Gen  62: profit_max=  487.00, profit_avg=  214.63, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    233.33, tasks_avg= 38.30, HV=0.3946, feasible ratio=1.00
Gen  63: profit_max=  487.00, profit_avg=  214.63, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    233.33, tasks_avg= 38.30, HV=0.3946, feasible ratio=1.00
Gen  64: profit_max=  487.00, profit_avg=  213.67, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    232.46, tasks_avg= 38.10, HV=0.3946, feasible ratio=1.00
Gen  65: profit_max=  487.00, profit_avg=  213.67, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    232.46, tasks_avg= 38.10, HV=0.3946, feasible ratio=1.00
Gen  66: profit_max=  487.00, profit_avg=  213.75, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    232.15, tasks_avg= 38.08, HV=0.3946, feasible ratio=1.00
