START s5_t100 / mode_sdas_dpic: 2026-05-27T19:12:41
COMMAND F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.5436, feasible ratio=0.79
Gen  79: profit_max=278.00, profit_avg=133.90, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=149.86, tasks_avg=24.31, HV=0.4749, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  80: profit_max=278.00, profit_avg=138.68, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=154.76, tasks_avg=25.16, HV=0.4751, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  81: profit_max=278.00, profit_avg=137.41, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=152.80, tasks_avg=24.91, HV=0.4743, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen  82: profit_max=278.00, profit_avg=136.66, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=153.22, tasks_avg=24.89, HV=0.4749, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen  83: profit_max=278.00, profit_avg=138.26, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=155.43, tasks_avg=25.13, HV=0.4746, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen  84: profit_max=278.00, profit_avg=137.00, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=155.74, tasks_avg=25.07, HV=0.4761, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen  85: profit_max=278.00, profit_avg=137.50, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=156.27, tasks_avg=25.18, HV=0.4750, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen  86: profit_max=278.00, profit_avg=137.15, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=155.48, tasks_avg=25.12, HV=0.4742, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen  87: profit_max=278.00, profit_avg=136.46, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=154.44, tasks_avg=24.99, HV=0.4715, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
Gen  88: profit_max=278.00, profit_avg=133.67, load_min=0.00, att_min=0.00, quality_max=292.99, quality_avg=151.75, tasks_avg=24.50, HV=0.4729, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=21
