ÂºÄÂßã s5_t300 / mode_sdasÔºåÊó∂Èó¥Ôºö2026-05-25T18:58:22
ÂëΩ‰ª§ F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS

========== MODE-SDAS Run 1/8 ==========
Init: HV=0.2539, feasible ratio=0.41
Gen  57: profit_max=  413.00, profit_avg=  194.25, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    200.60, tasks_avg= 32.84, HV=0.3961, feasible ratio=1.00
Gen  58: profit_max=  413.00, profit_avg=  194.58, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    201.22, tasks_avg= 32.90, HV=0.3998, feasible ratio=1.00
Gen  59: profit_max=  413.00, profit_avg=  194.84, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    201.38, tasks_avg= 32.97, HV=0.3998, feasible ratio=1.00
Gen  60: profit_max=  413.00, profit_avg=  194.84, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    201.38, tasks_avg= 32.97, HV=0.3998, feasible ratio=1.00
Gen  61: profit_max=  413.00, profit_avg=  194.84, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    201.38, tasks_avg= 32.97, HV=0.3998, feasible ratio=1.00
Gen  62: profit_max=  413.00, profit_avg=  193.59, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    200.73, tasks_avg= 32.83, HV=0.3996, feasible ratio=1.00
Gen  63: profit_max=  413.00, profit_avg=  193.63, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    200.88, tasks_avg= 32.81, HV=0.3999, feasible ratio=1.00
Gen  64: profit_max=  413.00, profit_avg=  193.63, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    200.88, tasks_avg= 32.81, HV=0.3999, feasible ratio=1.00
Gen  65: profit_max=  413.00, profit_avg=  196.22, load_min=     21.44, att_min=      0.00, quality_max=    398.13, quality_avg=    203.48, tasks_avg= 33.26, HV=0.4074, feasible ratio=1.00
Gen  66: profit_max=  413.00, profit_avg=  196.38, load_min=     21.44, att_min=      0.00, quality_max=    398.13, quality_avg=    203.65, tasks_avg= 33.26, HV=0.4075, feasible ratio=1.00
Gen  67: profit_max=  413.00, profit_avg=  196.72, load_min=     21.44, att_min=      0.00, quality_max=    398.13, quality_avg=    203.73, tasks_avg= 33.32, HV=0.4076, feasible ratio=1.00
Gen  68: profit_max=  413.00, profit_avg=  201.56, load_min=     21.44, att_min=      0.00, quality_max=    398.13, quality_avg=    209.02, tasks_avg= 34.17, HV=0.4089, feasible ratio=1.00
Gen  69: profit_max=  413.00, profit_avg=  201.56, load_min=     21.44, att_min=      0.00, quality_max=    398.13, quality_avg=    209.02, tasks_avg= 34.17, HV=0.4089, feasible ratio=1.00
Gen  70: profit_max=  413.00, profit_avg=  201.13, load_min=     21.44, att_min=      0.00, quality_max=    398.13, quality_avg=    209.01, tasks_avg= 34.10, HV=0.4088, feasible ratio=1.00
Gen  71: profit_max=  413.00, profit_avg=  201.13, load_min=     21.44, att_min=      0.00, quality_max=    398.13, quality_avg=    209.01, tasks_avg= 34.10, HV=0.4088, feasible ratio=1.00
Gen  72: profit_max=  413.00, profit_avg=  200.90, load_min=     21.44, att_min=      0.00, quality_max=    398.13, quality_avg=    209.01, tasks_avg= 34.07, HV=0.4083, feasible ratio=1.00
Gen  73: profit_max=  413.00, profit_avg=  200.24, load_min=     21.44, att_min=      0.00, quality_max=    398.13, quality_avg=    209.44, tasks_avg= 34.04, HV=0.4085, feasible ratio=1.00
Gen  74: profit_max=  413.00, profit_avg=  200.35, load_min=     21.44, att_min=      0.00, quality_max=    398.13, quality_avg=    209.50, tasks_avg= 34.05, HV=0.4087, feasible ratio=1.00
Gen  75: profit_max=  413.00, profit_avg=  200.38, load_min=     21.44, att_min=      0.00, quality_max=    398.13, quality_avg=    209.06, tasks_avg= 34.00, HV=0.4096, feasible ratio=1.00
Gen  76: profit_max=  413.00, profit_avg=  200.57, load_min=     21.44, att_min=      0.00, quality_max=    398.74, quality_avg=    209.94, tasks_avg= 34.08, HV=0.4108, feasible ratio=1.00
Gen  77: profit_max=  413.00, profit_avg=  200.57, load_min=     21.44, att_min=      0.00, quality_max=    398.74, quality_avg=    209.94, tasks_avg= 34.08, HV=0.4108, feasible ratio=1.00
Gen  78: profit_max=  423.00, profit_avg=  202.54, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    211.74, tasks_avg= 34.41, HV=0.3820, feasible ratio=1.00
Gen  79: profit_max=  423.00, profit_avg=  204.47, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    212.60, tasks_avg= 34.64, HV=0.3829, feasible ratio=1.00
Gen  80: profit_max=  423.00, profit_avg=  201.15, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    208.11, tasks_avg= 34.00, HV=0.3905, feasible ratio=1.00
Gen  81: profit_max=  423.00, profit_avg=  201.15, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    208.11, tasks_avg= 34.00, HV=0.3905, feasible ratio=1.00
Gen  82: profit_max=  423.00, profit_avg=  195.31, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    201.89, tasks_avg= 32.97, HV=0.3924, feasible ratio=1.00
Gen  83: profit_max=  423.00, profit_avg=  195.56, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    202.22, tasks_avg= 33.01, HV=0.3924, feasible ratio=1.00
Gen  84: profit_max=  423.00, profit_avg=  197.00, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    203.11, tasks_avg= 33.20, HV=0.3926, feasible ratio=1.00
Gen  85: profit_max=  423.00, profit_avg=  199.18, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    204.45, tasks_avg= 33.47, HV=0.3944, feasible ratio=1.00
Gen  86: profit_max=  423.00, profit_avg=  199.18, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    204.45, tasks_avg= 33.47, HV=0.3944, feasible ratio=1.00
Gen  87: profit_max=  423.00, profit_avg=  199.89, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    205.43, tasks_avg= 33.63, HV=0.3938, feasible ratio=1.00
Gen  88: profit_max=  423.00, profit_avg=  200.98, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    206.83, tasks_avg= 33.93, HV=0.3949, feasible ratio=1.00
Gen  89: profit_max=  423.00, profit_avg=  200.98, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    206.83, tasks_avg= 33.93, HV=0.3949, feasible ratio=1.00
Gen  90: profit_max=  423.00, profit_avg=  200.98, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    206.83, tasks_avg= 33.93, HV=0.3949, feasible ratio=1.00
Gen  91: profit_max=  423.00, profit_avg=  201.70, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    206.06, tasks_avg= 33.91, HV=0.3947, feasible ratio=1.00
Gen  92: profit_max=  423.00, profit_avg=  203.62, load_min=     21.44, att_min=      0.00, quality_max=    424.83, quality_avg=    208.37, tasks_avg= 34.32, HV=0.3944, feasible ratio=1.00
