开始 s5_t300 / mode_sdas_dual_archive，时间：2026-05-25T22:07:31
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + Dual Archive

========== MODE-SDAS + Dual Archive Run 1/8 ==========
Init: HV=0.3074, feasible ratio=0.51
Gen  56: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3946, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  57: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3946, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  58: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3946, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  59: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3946, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  60: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3947, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  61: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3968, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  62: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3968, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  63: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3957, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  64: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3960, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  65: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3978, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  66: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3978, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  67: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3980, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  68: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3982, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  69: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3982, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  70: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3970, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  71: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3971, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  72: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3971, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  73: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3972, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  74: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3969, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  75: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3969, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  76: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3968, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  77: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3969, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  78: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3969, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  79: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3970, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  80: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3970, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  81: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3972, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  82: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3972, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  83: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3972, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  84: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3972, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  85: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3972, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  86: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3964, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  87: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3964, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  88: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3963, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  89: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3963, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  90: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3961, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  91: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3961, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  92: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3993, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  93: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.4003, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  94: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.4019, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  95: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.4019, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  96: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3998, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  97: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.4027, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  98: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.4033, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  99: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.4034, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen 100: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.4033, feasible ratio=1.00, fea_archive=200, inf_archive=91
Final feasible solutions used for summary/HV: 100/100
Run 1 best: profit=479.0, load=56.24, att=0.00, quality=486.57

========== MODE-SDAS + Dual Archive Run 2/8 ==========
Init: HV=0.2914, feasible ratio=0.54
Gen   1: profit_max=207.00 load_min=16.64, att_min=0.00, quality_max=212.73 HV=0.3286, feasible ratio=0.68, fea_archive=122, inf_archive=78
Gen   2: profit_max=224.00 load_min=91.04, att_min=0.00, quality_max=230.34 HV=0.3164, feasible ratio=0.86, fea_archive=200, inf_archive=92
Gen   3: profit_max=236.00 load_min=91.04, att_min=0.00, quality_max=230.34 HV=0.3358, feasible ratio=0.98, fea_archive=200, inf_archive=94
Gen   4: profit_max=255.00 load_min=91.04, att_min=0.00, quality_max=261.79 HV=0.3456, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen   5: profit_max=255.00 load_min=91.04, att_min=0.00, quality_max=261.79 HV=0.3774, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen   6: profit_max=255.00 load_min=91.04, att_min=0.00, quality_max=261.79 HV=0.4137, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen   7: profit_max=285.00 load_min=69.20, att_min=0.00, quality_max=290.57 HV=0.3751, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen   8: profit_max=312.00 load_min=69.20, att_min=0.00, quality_max=331.10 HV=0.3374, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen   9: profit_max=312.00 load_min=69.20, att_min=0.00, quality_max=331.10 HV=0.3472, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  10: profit_max=312.00 load_min=69.20, att_min=0.00, quality_max=331.10 HV=0.3853, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  11: profit_max=312.00 load_min=69.20, att_min=0.00, quality_max=331.10 HV=0.3976, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  12: profit_max=312.00 load_min=69.20, att_min=0.00, quality_max=331.10 HV=0.3976, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  13: profit_max=369.00 load_min=69.20, att_min=0.00, quality_max=344.25 HV=0.3778, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  14: profit_max=369.00 load_min=69.20, att_min=0.00, quality_max=344.25 HV=0.3787, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  15: profit_max=379.00 load_min=69.20, att_min=0.00, quality_max=344.25 HV=0.3815, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  16: profit_max=379.00 load_min=69.20, att_min=0.00, quality_max=344.25 HV=0.3893, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  17: profit_max=379.00 load_min=69.20, att_min=0.00, quality_max=344.25 HV=0.3895, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  18: profit_max=469.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.2890, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  19: profit_max=469.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.2890, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  20: profit_max=469.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.2963, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  21: profit_max=469.00 load_min=69.20, att_min=0.00, quality_max=411.80 HV=0.3053, feasible ratio=1.00, fea_archive=200, inf_archive=94
