开始 s5_t300 / mode_sdas_dpic，时间：2026-05-26T10:50:41
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.5693, feasible ratio=0.48
Gen  70: profit_max=447.00, profit_avg=213.67, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=211.82, tasks_avg=35.96, HV=0.3106, feasible ratio=1.00, Nsub=21
Gen  71: profit_max=447.00, profit_avg=213.67, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=211.82, tasks_avg=35.96, HV=0.3106, feasible ratio=1.00, Nsub=21
Gen  72: profit_max=447.00, profit_avg=212.04, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=209.93, tasks_avg=35.67, HV=0.3106, feasible ratio=1.00, Nsub=21
Gen  73: profit_max=447.00, profit_avg=214.30, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=212.70, tasks_avg=36.12, HV=0.3106, feasible ratio=1.00, Nsub=21
Gen  74: profit_max=447.00, profit_avg=213.00, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=212.48, tasks_avg=35.95, HV=0.3105, feasible ratio=1.00, Nsub=21
Gen  75: profit_max=447.00, profit_avg=211.16, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=211.40, tasks_avg=35.68, HV=0.3130, feasible ratio=1.00, Nsub=21
Gen  76: profit_max=447.00, profit_avg=208.72, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=209.14, tasks_avg=35.26, HV=0.3138, feasible ratio=1.00, Nsub=21
Gen  77: profit_max=447.00, profit_avg=209.16, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=207.58, tasks_avg=35.19, HV=0.3140, feasible ratio=1.00, Nsub=21
Gen  78: profit_max=447.00, profit_avg=207.01, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=205.38, tasks_avg=34.85, HV=0.3140, feasible ratio=1.00, Nsub=21
Gen  79: profit_max=447.00, profit_avg=207.05, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=205.44, tasks_avg=34.86, HV=0.3147, feasible ratio=1.00, Nsub=21
Gen  80: profit_max=447.00, profit_avg=208.64, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=207.36, tasks_avg=35.14, HV=0.3149, feasible ratio=1.00, Nsub=21
Gen  81: profit_max=447.00, profit_avg=210.59, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=208.71, tasks_avg=35.35, HV=0.3129, feasible ratio=1.00, Nsub=13
Gen  82: profit_max=447.00, profit_avg=216.52, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=214.71, tasks_avg=36.34, HV=0.3131, feasible ratio=1.00, Nsub=13
Gen  83: profit_max=447.00, profit_avg=216.63, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=214.95, tasks_avg=36.34, HV=0.3131, feasible ratio=1.00, Nsub=13
Gen  84: profit_max=447.00, profit_avg=217.08, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=214.97, tasks_avg=36.41, HV=0.3123, feasible ratio=1.00, Nsub=13
