START s5_t300 / mode_sdas_dual_archive: 2026-05-28T00:13:21
COMMAND F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS + Dual Archive

========== MODE-SDAS + Dual Archive Run 1/8 ==========
Init: HV=0.4298, feasible ratio=0.41
Gen   2: profit_max=198.00 load_min=52.16, att_min=0.00, quality_max=182.10 HV=0.3410, feasible ratio=0.99, fea_archive=200, inf_archive=72
Gen   3: profit_max=204.00 load_min=52.16, att_min=0.00, quality_max=207.86 HV=0.3706, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen   4: profit_max=246.00 load_min=52.16, att_min=0.00, quality_max=236.89 HV=0.3214, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen   5: profit_max=282.00 load_min=52.16, att_min=0.00, quality_max=269.89 HV=0.3266, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen   6: profit_max=282.00 load_min=52.16, att_min=0.00, quality_max=269.89 HV=0.3272, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen   7: profit_max=337.00 load_min=52.16, att_min=0.00, quality_max=310.75 HV=0.3173, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen   8: profit_max=337.00 load_min=52.16, att_min=0.00, quality_max=310.75 HV=0.3317, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen   9: profit_max=337.00 load_min=52.16, att_min=0.00, quality_max=310.75 HV=0.3397, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  10: profit_max=337.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3020, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  11: profit_max=337.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3031, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  12: profit_max=337.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3112, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  13: profit_max=337.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3114, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  14: profit_max=337.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3157, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  15: profit_max=337.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3188, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  16: profit_max=337.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3204, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  17: profit_max=337.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3289, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  18: profit_max=337.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3297, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  19: profit_max=337.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3298, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  20: profit_max=360.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3084, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  21: profit_max=370.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3551, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  22: profit_max=370.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3557, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  23: profit_max=370.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3557, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  24: profit_max=370.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3558, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  25: profit_max=370.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3560, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  26: profit_max=370.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3695, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  27: profit_max=370.00 load_min=52.16, att_min=0.00, quality_max=366.71 HV=0.3695, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  28: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3602, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  29: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3602, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  30: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3601, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  31: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3622, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  32: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3621, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  33: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3756, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  34: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3833, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  35: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3833, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  36: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3840, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  37: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3855, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  38: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3855, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  39: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3865, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  40: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3863, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  41: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3867, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  42: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3867, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  43: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3867, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  44: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3867, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  45: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3866, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  46: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=392.08 HV=0.3867, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  47: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3741, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  48: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3758, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  49: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3780, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  50: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3780, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  51: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3782, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  52: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3790, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  53: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3798, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  54: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3798, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  55: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3797, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  56: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3797, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  57: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3797, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  58: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3798, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  59: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3808, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  60: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3806, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  61: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3806, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  62: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3815, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  63: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3840, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  64: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3840, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  65: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3844, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  66: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=422.30 HV=0.3845, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  67: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=448.79 HV=0.3667, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  68: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=448.79 HV=0.3659, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  69: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=448.79 HV=0.3659, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  70: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=448.79 HV=0.3659, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  71: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=448.79 HV=0.3659, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  72: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=448.79 HV=0.3659, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  73: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=448.79 HV=0.3662, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  74: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=448.79 HV=0.3664, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  75: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=448.79 HV=0.3664, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  76: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=448.79 HV=0.3664, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  77: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=448.79 HV=0.3668, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  78: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=448.79 HV=0.3669, feasible ratio=1.00, fea_archive=200, inf_archive=72
Gen  79: profit_max=406.00 load_min=52.16, att_min=0.00, quality_max=448.79 HV=0.3681, feasible ratio=1.00, fea_archive=200, inf_archive=72
